
               Expts	17.C4/AE.BASELINE.4C	C2017.C4/RFM1.BR1.4C	C2017.C4/RFM2.BR1.4C	C2017.C4/RFM5.BR1.4C	

             blender	       1.000 	       1.001 	       0.999 	       0.947 	
                 lbm	       1.000 	       1.000 	       0.994 	       0.870 	
                roms	       1.000 	       1.001 	       1.002 	       0.938 	
                 mcf	       1.000 	       0.994 	       1.000 	       0.999 	
           cactuBSSN	       1.000 	       1.014 	       1.005 	       0.972 	
                  xz	       1.000 	       1.000 	       1.000 	       1.000 	
           deepsjeng	       1.000 	       1.000 	       1.000 	       0.999 	
             imagick	       1.000 	       1.000 	       1.001 	       0.998 	
                 nab	       1.000 	       1.000 	       1.000 	       1.000 	
                namd	       1.000 	       1.000 	       1.000 	       1.000 	
               leela	       1.000 	       1.000 	       1.000 	       1.000 	
                 wrf	       1.000 	       1.002 	       1.001 	       0.991 	
              povray	       1.000 	       1.000 	       1.000 	       1.000 	
           exchange2	       1.000 	       1.000 	       1.000 	       1.000 	
               mix11	       1.000 	       0.999 	       0.996 	       0.947 	
               mix13	       1.000 	       1.000 	       0.997 	       0.949 	
               mix14	       1.000 	       1.001 	       0.997 	       0.953 	
                mix6	       1.000 	       1.000 	       0.998 	       0.966 	
               mix15	       1.000 	       1.000 	       0.999 	       0.995 	
                mix4	       1.000 	       1.000 	       1.000 	       1.000 	
               mix12	       1.000 	       1.000 	       1.000 	       0.995 	
               mix10	       1.000 	       1.000 	       1.000 	       1.000 	
                mix1	       1.000 	       1.000 	       0.999 	       0.996 	
                mix7	       1.000 	       1.000 	       0.999 	       0.995 	
                mix3	       1.000 	       1.000 	       1.000 	       1.000 	

               Gmean	       1.000 	       1.000 	       0.999 	       0.980 	
