
               Expts	17.C4/AE.BASELINE.4C	C2017.C4/RFM1.BR2.4C	C2017.C4/RFM2.BR2.4C	C2017.C4/RFM5.BR2.4C	2017.C4/RFM10.BR2.4C	

             blender	       1.000 	       1.001 	       0.999 	       0.947 	       0.798 	
                 lbm	       1.000 	       1.000 	       0.994 	       0.870 	       0.672 	
                roms	       1.000 	       1.001 	       1.002 	       0.938 	       0.816 	
                 mcf	       1.000 	       0.994 	       1.000 	       0.999 	       0.948 	
           cactuBSSN	       1.000 	       1.014 	       1.005 	       0.972 	       0.901 	
                  xz	       1.000 	       1.000 	       1.000 	       1.000 	       0.999 	
           deepsjeng	       1.000 	       1.000 	       1.000 	       0.999 	       1.000 	
             imagick	       1.000 	       1.000 	       1.001 	       0.998 	       0.995 	
                 nab	       1.000 	       1.000 	       1.000 	       1.000 	       1.000 	
                namd	       1.000 	       1.000 	       1.000 	       1.000 	       0.999 	
               leela	       1.000 	       1.000 	       1.000 	       1.000 	       1.000 	
                 wrf	       1.000 	       1.002 	       1.001 	       0.991 	       0.958 	
              povray	       1.000 	       1.000 	       1.000 	       1.000 	       1.000 	
           exchange2	       1.000 	       1.000 	       1.000 	       1.000 	       1.000 	
               mix11	       1.000 	       0.999 	       0.996 	       0.947 	       0.834 	
               mix13	       1.000 	       1.000 	       0.997 	       0.949 	       0.857 	
               mix14	       1.000 	       1.001 	       0.997 	       0.953 	       0.878 	
                mix6	       1.000 	       1.000 	       0.998 	       0.966 	       0.906 	
               mix15	       1.000 	       1.000 	       0.999 	       0.995 	       0.978 	
                mix4	       1.000 	       1.000 	       1.000 	       1.000 	       0.999 	
               mix12	       1.000 	       1.000 	       1.000 	       0.995 	       0.974 	
               mix10	       1.000 	       1.000 	       1.000 	       1.000 	       0.997 	
                mix1	       1.000 	       1.000 	       0.999 	       0.996 	       0.988 	
                mix7	       1.000 	       1.000 	       0.999 	       0.995 	       0.977 	
                mix3	       1.000 	       1.000 	       1.000 	       1.000 	       0.999 	

               Gmean	       1.000 	       1.000 	       0.999 	       0.980 	       0.935 	
